,group,group_package,group_label,group_description,permission,package,label,description,protectionLevel
25,android.permission-group.LOCATION,android,Location,access this device's location,com.google.android.gms.permission.CAR_SPEED,com.google.android.gms,car speed,Access your car's speed,dangerous
26,android.permission-group.LOCATION,android,Location,access this device's location,android.permission.ACCESS_COARSE_LOCATION,android,access approximate location (network-based),This app can get your location based on network sources such as cell towers and Wi-Fi networks. These location services must be turned on and available on your phone for the app to be able to use them.,dangerous|instant
27,android.permission-group.STORAGE,android,Storage,"access photos, media, and files on your device",android.permission.READ_EXTERNAL_STORAGE,android,read the contents of your USB storage,Allows the app to read the contents of your USB storage.,dangerous
28,android.permission-group.STORAGE,android,Storage,"access photos, media, and files on your device",android.permission.WRITE_EXTERNAL_STORAGE,android,modify or delete the contents of your USB storage,Allows the app to write to the USB storage.,dangerous
29,us.zoom.videomeetings.permission-group.ZOOM_TOOLS,us.zoom.videomeetings,Zoom Application Tools,null,us.zoom.videomeetings.permission.READ_CONFIG,us.zoom.videomeetings,Read Zoom application configurations,Read Zoom application configurations.,signature
30,us.zoom.videomeetings.permission-group.ZOOM_TOOLS,us.zoom.videomeetings,Zoom Application Tools,null,us.zoom.videomeetings.permission.CHANGE_CONFIG,us.zoom.videomeetings,Change Zoom application configurations,Change Zoom application configurations,signature
31,android.permission-group.MICROPHONE,android,Microphone,record audio,android.permission.RECORD_AUDIO,android,record audio,This app can record audio using the microphone at any time.,dangerous|instant
32,android.permission-group.SMS,android,SMS,send and view SMS messages,android.permission.READ_SMS,android,read your text messages (SMS or MMS),This app can read all SMS (text) messages stored on your phone.,dangerous
33,android.permission-group.SMS,android,SMS,send and view SMS messages,android.permission.RECEIVE_WAP_PUSH,android,receive text messages (WAP),Allows the app to receive and process WAP messages. This permission includes the ability to monitor or delete messages sent to you without showing them to you.,dangerous
34,android.permission-group.SMS,android,SMS,send and view SMS messages,android.permission.RECEIVE_MMS,android,receive text messages (MMS),Allows the app to receive and process MMS messages. This means the app could monitor or delete messages sent to your device without showing them to you.,dangerous
35,android.permission-group.SMS,android,SMS,send and view SMS messages,android.permission.RECEIVE_SMS,android,receive text messages (SMS),Allows the app to receive and process SMS messages. This means the app could monitor or delete messages sent to your device without showing them to you.,dangerous
36,android.permission-group.SMS,android,SMS,send and view SMS messages,android.permission.SEND_SMS,android,send and view SMS messages,Allows the app to send SMS messages. This may result in unexpected charges. Malicious apps may cost you money by sending messages without your confirmation.,dangerous
37,android.permission-group.SMS,android,SMS,send and view SMS messages,android.permission.READ_CELL_BROADCASTS,android,read cell broadcast messages,Allows the app to read cell broadcast messages received by your device. Cell broadcast alerts are delivered in some locations to warn you of emergency situations. Malicious apps may interfere with the performance or operation of your device when an emergency cell broadcast is received.,dangerous
38,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.REAL_GET_TASKS,android,null,null,signature|privileged
39,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.ACCESS_CACHE_FILESYSTEM,android,null,null,signature|privileged
40,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.REMOTE_AUDIO_PLAYBACK,android,null,null,signature
41,ungrouped,ungrouped,ungrouped,ungrouped,com.bitstrips.imoji.permission.C2D_MESSAGE,com.bitstrips.imoji,null,null,signature
42,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.apps.photos.permission.C2D_MESSAGE,com.google.android.apps.photos,null,null,signature
43,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.REGISTER_WINDOW_MANAGER_LISTENERS,android,null,null,signature
44,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.INTENT_FILTER_VERIFICATION_AGENT,android,null,null,signature|privileged
45,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.BIND_INCALL_SERVICE,android,null,null,signature|privileged
46,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.PROVIDE_RESOLVER_RANKER_SERVICE,android,null,null,signature|privileged
47,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.gms.trustagent.framework.model.DATA_CHANGE_NOTIFICATION,com.google.android.gms,null,null,signature
48,ungrouped,ungrouped,ungrouped,ungrouped,com.nextdoor.permission.C2D_MESSAGE,com.nextdoor,null,null,signature
49,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.WRITE_SETTINGS,android,modify system settings,Allows the app to modify the system's settings data. Malicious apps may corrupt your system's configuration.,signature|appop|pre23|preinstalled
50,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.vending.verifier.ACCESS_VERIFIER,com.android.vending,null,null,signature
51,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.android.vending,null,null,normal
52,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.CONTROL_KEYGUARD,android,null,null,signature
53,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.MANAGE_CAMERA,android,null,null,signature
54,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.READ_WALLPAPER_INTERNAL,android,null,null,signature|privileged
55,ungrouped,ungrouped,ungrouped,ungrouped,com.washingtonpost.android.permission.RECEIVE_ADM_MESSAGE,com.washingtonpost.android,null,null,signature
56,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.calendar.permission.C2D_MESSAGE,com.google.android.calendar,null,null,signature
57,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.CONFIGURE_WIFI_DISPLAY,android,null,null,signature
58,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.CONFIGURE_DISPLAY_COLOR_MODE,android,null,null,signature
59,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.ACCESS_WIMAX_STATE,android,connect and disconnect from WiMAX,Allows the app to determine whether WiMAX is enabled and information about any WiMAX networks that are connected.,normal
60,ungrouped,ungrouped,ungrouped,ungrouped,com.dropbox.android.provider.ACCOUNT_INFO_READ,com.dropbox.android,null,null,signature|privileged
61,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.SET_INPUT_CALIBRATION,android,null,null,signature
62,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.RECOVERY,android,null,null,signature|privileged
63,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.TEMPORARY_ENABLE_ACCESSIBILITY,android,null,null,signature
64,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.talk.permission.C2D_MESSAGE,com.google.android.talk,null,null,signature
65,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.SET_PROCESS_LIMIT,android,null,null,signature|privileged|development
66,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.googleapps.permission.GOOGLE_AUTH.sitemaps,com.google.android.gsf,Google Webmaster Tools,Allows apps to sign in to Google Webmaster Tools using the account(s) stored on this Android device.,signature
67,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.googlequicksearchbox.permission.C2D_MESSAGE,com.google.android.googlequicksearchbox,null,null,signature
68,ungrouped,ungrouped,ungrouped,ungrouped,com.ticktick.task.permission.WEAR_ACCESS,com.ticktick.task,null,null,signature
69,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.READ_LOWPAN_CREDENTIAL,android,null,null,signature|privileged
70,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.googleapps.permission.GOOGLE_AUTH.panoramio,com.google.android.gsf,Panoramio,null,normal
71,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.FRAME_STATS,android,null,null,signature
72,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.gm.permission.BROADCAST_INTERNAL,com.google.android.gm,internal broadcast,"Allow the app to access Gmail broadcast intents, used to update notifications among other things.",signature
73,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.apps.genie.geniewidget.permission.C2D_MESSAGE,com.google.android.apps.genie.geniewidget,null,null,signature
74,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.gms.permission.APPINDEXING,com.google.android.gms,null,null,signature
75,ungrouped,ungrouped,ungrouped,ungrouped,com.fandango.permission.UA_DATA,com.fandango,null,null,signature
76,ungrouped,ungrouped,ungrouped,ungrouped,com.apple.android.music.UserInfoContentProvider.permission,com.apple.android.music,null,null,signature
77,ungrouped,ungrouped,ungrouped,ungrouped,com.apple.android.music.permission.C2D_MESSAGE,com.apple.android.music,null,null,signature
78,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.BRICK,android,null,null,signature
79,ungrouped,ungrouped,ungrouped,ungrouped,com.dropbox.android.permission.C2D_MESSAGE,com.dropbox.android,null,null,signature
80,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.c2dm.permission.RECEIVE,com.google.android.gsf,receive data from Internet,Allows apps to accept cloud to device messages sent by the app's service. Using this service will incur data usage. Malicious apps could cause excess data usage.,normal
81,ungrouped,ungrouped,ungrouped,ungrouped,com.amazon.appmanager.preload.permission.READ_PRELOAD_DEVICE_INFO_PROVIDER,com.amazon.dee.app,null,null,signature|privileged
82,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.BIND_PRINT_RECOMMENDATION_SERVICE,android,null,null,signature
83,ungrouped,ungrouped,ungrouped,ungrouped,com.gregoryscoffee.gregoryscoffee.android.app.permission.C2D_MESSAGE,com.gregoryscoffee.gregoryscoffee.android.app,null,null,signature
84,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.RESTART_PACKAGES,android,close other apps,Allows the app to end background processes of other apps. This may cause other apps to stop running.,normal
85,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.STORAGE_INTERNAL,android,null,null,signature
86,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.USE_CREDENTIALS,android,null,null,normal
87,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.TABLET_MODE,android,null,null,signature
88,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.NOTIFICATION_DURING_SETUP,android,null,null,signature|privileged
89,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.BIND_KEYGUARD_APPWIDGET,android,null,null,signature|privileged
90,ungrouped,ungrouped,ungrouped,ungrouped,com.verizon.permission.STORE_DEMO_MODE,com.verizon.llkagent,null,null,signature
91,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.NETWORK_BYPASS_PRIVATE_DNS,android,null,null,signature
92,ungrouped,ungrouped,ungrouped,ungrouped,com.microsoft.emmx.TOS_ACKED,com.microsoft.emmx,null,null,signature|privileged
93,ungrouped,ungrouped,ungrouped,ungrouped,com.facebook.orca.permission.RECEIVE_ADM_MESSAGE,com.facebook.orca,null,null,signature
94,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.googleapps.permission.GOOGLE_AUTH.sierrasandbox,com.google.android.gsf,Google Checkout Sandbox accounts,Allows apps to sign in to Google Checkout Sandbox using the account(s) stored on this Android device.,signature
95,ungrouped,ungrouped,ungrouped,ungrouped,com.facebook.receiver.permission.ACCESS,com.facebook.orca,null,null,signature
96,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.READ_SYSTEM_UPDATE_INFO,android,null,null,signature
97,ungrouped,ungrouped,ungrouped,ungrouped,com.Slack.permission.C2D_MESSAGE,com.Slack,null,null,signature
98,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.BIND_DEVICE_ADMIN,android,null,null,signature
99,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.MODIFY_AUDIO_SETTINGS,android,change your audio settings,Allows the app to modify global audio settings such as volume and which speaker is used for output.,normal
100,ungrouped,ungrouped,ungrouped,ungrouped,org.thoughtcrime.securesms.ACCESS_SECRETS,org.thoughtcrime.securesms,Access to TextSecure Secrets,null,signature
101,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.carrier.authdialog.permission.WRITE_RESULTS,com.google.android.carrier.authdialog,null,null,signature|privileged
102,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.ACCESS_CHECKIN_PROPERTIES,android,null,null,signature|privileged
103,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.KILL_UID,android,null,null,signature|installer
104,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.SIGNAL_PERSISTENT_PROCESSES,android,null,null,signature|privileged|development
105,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.BIND_PRINT_SERVICE,android,null,null,signature
106,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.ACCESS_NOTIFICATION_POLICY,android,access Do Not Disturb,Allows the app to read and write Do Not Disturb configuration.,normal
107,ungrouped,ungrouped,ungrouped,ungrouped,com.android.permission.READ_OMADM_SETTINGS,com.android.omadm.service,null,null,signature|privileged
108,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.ACTIVITY_EMBEDDING,android,null,null,signature|privileged|development
109,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.BIND_RUNTIME_PERMISSION_PRESENTER_SERVICE,android,null,null,signature
110,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.MODIFY_AUDIO_ROUTING,android,null,null,signature|privileged
111,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.RECEIVE_BLUETOOTH_MAP,android,null,null,signature|privileged
112,ungrouped,ungrouped,ungrouped,ungrouped,com.shazam.android.permission.C2D_MESSAGE,com.shazam.android,null,null,signature
113,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.ACCESS_MOCK_LOCATION,android,null,null,signature
114,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.apps.enterprise.dmagent.permission.NotificationBroadcastReceiverPermission,com.google.android.apps.enterprise.dmagent,null,null,signature|privileged
115,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.BIND_VR_LISTENER_SERVICE,android,null,null,signature
116,ungrouped,ungrouped,ungrouped,ungrouped,com.panera.bread.permission.RECEIVE_ADM_MESSAGE,com.panera.bread,null,null,signature
117,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.GET_APP_OPS_STATS,android,null,null,signature|privileged|development
118,ungrouped,ungrouped,ungrouped,ungrouped,com.ubercab.permission.C2D_MESSAGE,com.ubercab,null,null,signature
119,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.RECEIVE_DATA_ACTIVITY_CHANGE,android,null,null,signature|privileged
120,ungrouped,ungrouped,ungrouped,ungrouped,com.aa.android.permission.C2D_MESSAGE,com.aa.android,null,null,signature
121,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.providers.gsf.permission.READ_GSERVICES,com.google.android.gsf,read Google service configuration,Allows this app to read Google service configuration data.,normal
122,ungrouped,ungrouped,ungrouped,ungrouped,com.microsoft.emmx.permission.READ_WRITE_BOOKMARK_FOLDERS,com.microsoft.emmx,null,null,signature|privileged
123,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.setupwizard.WRITE_DEVICE_ORIGIN,com.google.android.setupwizard,null,null,signature|privileged
124,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.youtube.permission.C2D_MESSAGE,com.google.android.youtube,null,null,signature
125,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.READ_WIFI_CREDENTIAL,android,null,null,signature|privileged
126,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.BIND_DREAM_SERVICE,android,null,null,signature
127,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.WRITE_GSERVICES,android,null,null,signature|privileged
128,ungrouped,ungrouped,ungrouped,ungrouped,com.android.printspooler.permission.ACCESS_ALL_PRINT_JOBS,com.android.printspooler,null,null,signature
129,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.INSTALL_LOCATION_PROVIDER,android,null,null,signature|privileged
130,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.voicesearch.AUDIO_FILE_ACCESS,com.google.android.googlequicksearchbox,Recorded audio access,"Can access the recorded audio utterances for notes to self, and for raw audio analysis.",signature
131,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.USE_RESERVED_DISK,android,null,null,signature|privileged
132,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.READ_RUNTIME_PROFILES,android,null,null,signature|privileged
133,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.MANAGE_ACCOUNTS,android,null,null,normal
134,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.CONTROL_WIFI_DISPLAY,android,null,null,signature
135,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.googleapps.permission.GOOGLE_AUTH.ah,com.google.android.gsf,Google App Engine,Allows apps to sign in to Google App Engine using the account(s) stored on this Android device.,signature
136,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.googleapps.permission.GOOGLE_AUTH.cl,com.google.android.gsf,Google Calendar,Allows apps to sign in to Google Calendar using the account(s) stored on this Android device.,signature
137,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.googleapps.permission.GOOGLE_AUTH.cp,com.google.android.gsf,contacts data in Google accounts,Allows apps to access the contacts and profile information of account(s) stored on this Android device.,signature
138,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.googleapps.permission.GOOGLE_AUTH.ig,com.google.android.gsf,iGoogle accounts,Allows apps to sign in to iGoogle using the account(s) stored on this Android device.,signature
139,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.SYSTEM_ALERT_WINDOW,android,This app can appear on top of other apps,This app can appear on top of other apps or other parts of the screen. This may interfere with normal app usage and change the way that other apps appear.,signature|development|appop|pre23|preinstalled
140,ungrouped,ungrouped,ungrouped,ungrouped,com.skype.raider.permission.SMS_RELAY_RECEIVER,com.skype.raider,null,null,signature|privileged
141,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.INSTANT_APP_FOREGROUND_SERVICE,android,null,null,signature|development|appop|instant
142,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.BIND_CARRIER_SERVICES,android,bind to carrier services,Allows the holder to bind to carrier services. Should never be needed for normal apps.,signature|privileged
143,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.googleapps.permission.GOOGLE_AUTH.lh2,com.google.android.gsf,Picasa Web Albums,Allows apps to sign in to Picasa Web Albums using the account(s) stored on this Android device.,signature
144,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.gsf.subscribedfeeds.permission.C2D_MESSAGE,com.google.android.gsf,null,null,signature
145,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.BROADCAST_PHONE_ACCOUNT_REGISTRATION,com.android.server.telecom,Broadcast phone account registration,null,signature|privileged
146,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.START_TASKS_FROM_RECENTS,android,null,null,signature|privileged
147,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.apps.enterprise.dmagent.permission.AutoRegisterPermission,com.google.android.apps.enterprise.dmagent,null,null,signature|privileged
148,ungrouped,ungrouped,ungrouped,ungrouped,com.funforfones.android.dcmetro.permission.C2D_MESSAGE,com.funforfones.android.dcmetro,null,null,signature
149,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.NFC_TRANSACTION_EVENT,android,null,null,normal
150,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.providers.talk.permission.WRITE_ONLY,com.google.android.gsf,write instant messages,Allows apps to write data to the Google Talk content provider.,dangerous
151,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.CONTROL_LOCATION_UPDATES,android,null,null,signature|privileged
152,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.googleapps.permission.GOOGLE_AUTH.gbase,com.google.android.gsf,Google Base,Allows apps to sign in to Google Base using the account(s) stored on this Android device.,signature
153,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.gms.permission.BIND_NETWORK_TASK_SERVICE,com.google.android.gms,null,null,signature
154,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.googleapps.permission.GOOGLE_AUTH.local,com.google.android.gsf,Google Maps,Allows apps to sign in to Google Maps using the account(s) stored on this Android device.,signature
155,ungrouped,ungrouped,ungrouped,ungrouped,com.google.vr.vrcore.permission.VRCORE_INTERNAL,com.google.vr.vrcore,null,null,signature
156,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.googleapps.permission.GOOGLE_AUTH.orkut,com.google.android.gsf,Orkut,Allows apps to sign in to Orkut using the account(s) stored on this Android device.,signature
157,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.googleapps.permission.GOOGLE_AUTH.print,com.google.android.gsf,Google Book Search,Allows apps to sign in to Google Book Search using the account(s) stored on this Android device.,signature
158,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.GET_TOP_ACTIVITY_INFO,android,null,null,signature
159,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.gms.auth.authzen.permission.DEVICE_SYNC_FINISHED,com.google.android.gms,null,null,signature
160,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.googleapps.permission.GOOGLE_AUTH.OTHER_SERVICES,com.google.android.gsf,access other Google services,Allows apps to sign in to unspecified Google services using the account(s) stored on this Android device.,signature
161,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.CLEAR_APP_USER_DATA,android,null,null,signature|installer
162,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.xmpp.permission.USE_XMPP_ENDPOINT,com.google.android.gsf,send and receive XMPP messages to and from Google servers,Allows Google apps to send and receive XMPP messages to and from Google servers.,signature
163,ungrouped,ungrouped,ungrouped,ungrouped,us.zoom.videomeetings.permission.C2D_MESSAGE,us.zoom.videomeetings,null,null,signature
164,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.PROVIDE_TRUST_AGENT,android,null,null,signature|privileged
165,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.SET_VOLUME_KEY_LONG_PRESS_LISTENER,android,null,null,signature|privileged|development
166,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.BROADCAST_CALLLOG_INFO,com.android.server.telecom,Broadcast the call type/duration information,null,signature|privileged
167,ungrouped,ungrouped,ungrouped,ungrouped,com.fidelity.android.permission.MAPS_RECEIVE,com.fidelity.android,null,null,signature
168,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.gms.chromesync.permission.CONTENT_PROVIDER_ACCESS,com.google.android.gms,null,null,signature
169,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.INSTALL_PACKAGES,android,null,null,signature|privileged
170,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.MANAGE_SOUND_TRIGGER,android,null,null,signature|privileged
171,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.SEND_RESPOND_VIA_MESSAGE,android,null,null,signature|privileged
172,ungrouped,ungrouped,ungrouped,ungrouped,com.tripadvisor.tripadvisor.permission.C2D_MESSAGE,com.tripadvisor.tripadvisor,null,null,signature
173,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.ims.providers.ACCESS_DATA,com.google.android.ims,null,null,normal
174,ungrouped,ungrouped,ungrouped,ungrouped,com.android.permission.WHITELIST_BLUETOOTH_DEVICE,com.android.bluetooth,Whitelist bluetooth device access.,"Allows the app to temporarily whitelist a Bluetooth device, allowing that device to send files to this device without user confirmation.",signature
